Parameter,Brook Trout,Brown Trout
tOpt,"12.5 (12.2,12.8)","12.6 (12.1,13)"
ctMax,"19.7 (19.4,19.9)","27.6 (25.6,30.6)"
sigma,"3.8 (3.7,3.9)","4 (3.8,4.2)"
lInf,"357 (336,380)","646 (578,727)"
k,"-0.0013 (-0.0014,-0.0012)","-0.0006 (-0.0007,-0.0005)"
Bflow,"0.11 (0.10,0.11)","0.12 (0.12,0.13)"
Bbkt,"-0.052 (-0.059,-0.044)","-0.020 (-0.026,-0.014)"
Bbnt,"-0.033 (-0.040,-0.025)","-0.024 (-0.031,-0.017)"
eps,"0.00052 (0.00049,0.00055)","0.00032 (0.00030,0.00033)"
