"","parameter","annual","daily","monthly","seasonal"
"1","beta1",0.84,0.94,0.94,0.94
"2","beta2",0.84,0.94,0.95,0.94
"3","ctMax",0.86,0.96,0.94,0.94
"4","eps",0.86,0.94,0.95,0.96
"5","sigma",0.78,0.94,0.94,0.93
"6","tOpt",0.83,0.94,0.93,0.93
